TIME_(s),CIC_S,CIC_W,CIC_N,CIC_E,CIC_C,SD_S,SD_W,SD_N,SD_E,SD_C,IMAGE
1.347,-77312.9,-81325.1,-78570.0,-83093.6,-96438.6,14.6,18.2,26.7,18.5,23.3,frame_1347_msec.jpg
1.347,-77313.3,-81325.3,-78570.6,-83094.3,-96439.3,14.2,18.0,26.1,17.8,22.6,frame_1347_msec.jpg
1.347,-77313.5,-81325.4,-78571.1,-83094.8,-96439.8,14.0,17.9,25.6,17.3,22.1,frame_1347_msec.jpg
1.364,-77313.6,-81325.4,-78571.4,-83095.2,-96440.2,13.9,17.9,25.3,16.9,21.7,frame_1364_msec.jpg
1.377,-77313.6,-81325.3,-78571.5,-83095.4,-96440.3,13.9,18.0,25.2,16.7,21.5,frame_1377_msec.jpg
1.378,-77313.5,-81325.2,-78571.6,-83095.6,-96440.4,14.0,18.1,25.1,16.5,21.5,frame_1378_msec.jpg
1.378,-77313.5,-81325.0,-78571.6,-83095.8,-96440.4,14.0,18.2,25.1,16.3,21.5,frame_1378_msec.jpg
1.379,-77313.4,-81325.0,-78571.6,-83095.8,-96440.3,14.1,18.3,25.1,16.3,21.5,frame_1379_msec.jpg
1.379,-77313.4,-81324.9,-78571.7,-83095.9,-96440.3,14.1,18.3,25.0,16.2,21.6,frame_1379_msec.jpg
1.395,-77313.4,-81324.9,-78571.7,-83095.9,-96440.3,14.1,18.4,25.0,16.2,21.5,frame_1395_msec.jpg
1.411,-77313.3,-81324.9,-78571.8,-83095.8,-96440.4,14.2,18.4,24.9,16.3,21.5,frame_1411_msec.jpg
1.412,-77313.2,-81324.9,-78571.8,-83095.6,-96440.4,14.3,18.4,24.9,16.5,21.5,frame_1412_msec.jpg
1.412,-77313.1,-81324.8,-78571.7,-83095.4,-96440.4,14.4,18.5,25.0,16.7,21.5,frame_1412_msec.jpg
1.412,-77312.9,-81324.7,-78571.5,-83095.1,-96440.2,14.6,18.6,25.2,17.0,21.6,frame_1412_msec.jpg
1.413,-77312.5,-81324.5,-78571.0,-83094.8,-96440.0,14.9,18.8,25.6,17.3,21.9,frame_1413_msec.jpg
1.413,-77312.1,-81324.2,-78570.4,-83094.3,-96439.6,15.4,19.1,26.2,17.8,22.2,frame_1413_msec.jpg
1.427,-77311.5,-81323.7,-78569.6,-83093.7,-96439.1,16.0,19.5,27.1,18.4,22.8,frame_1427_msec.jpg
1.445,-77310.7,-81323.2,-78568.6,-83092.8,-96438.3,16.8,20.1,28.1,19.3,23.6,frame_1445_msec.jpg
1.445,-77309.5,-81322.4,-78567.2,-83091.7,-96437.2,17.9,20.9,29.4,20.4,24.7,frame_1445_msec.jpg
1.445,-77308.0,-81321.4,-78565.7,-83090.3,-96435.8,19.5,21.9,31.0,21.8,26.1,frame_1445_msec.jpg
1.446,-77306.1,-81320.1,-78563.8,-83088.6,-96433.9,21.4,23.2,32.9,23.5,28.0,frame_1446_msec.jpg
1.446,-77303.7,-81318.4,-78561.7,-83086.9,-96431.6,23.8,24.8,35.0,25.2,30.2,frame_1446_msec.jpg
1.461,-77301.0,-81316.4,-78559.4,-83085.3,-96429.0,26.4,26.9,37.3,26.8,32.9,frame_1461_msec.jpg
1.478,-77298.1,-81313.9,-78557.1,-83083.9,-96426.1,29.3,29.4,39.6,28.2,35.8,frame_1478_msec.jpg
1.478,-77295.2,-81311.0,-78554.7,-83082.9,-96423.1,32.3,32.3,42.0,29.2,38.8,frame_1478_msec.jpg
1.478,-77292.4,-81307.8,-78552.5,-83082.5,-96420.2,35.1,35.5,44.2,29.6,41.6,frame_1478_msec.jpg
1.479,-77290.0,-81304.3,-78550.8,-83082.6,-96417.8,37.5,38.9,45.9,29.5,44.1,frame_1479_msec.jpg
1.479,-77288.3,-81300.9,-78549.6,-83083.3,-96416.1,39.2,42.4,47.1,28.8,45.8,frame_1479_msec.jpg
1.479,-77287.4,-81297.7,-78549.1,-83084.5,-96415.2,40.1,45.6,47.5,27.6,46.7,frame_1479_msec.jpg
1.519,-77287.4,-81295.0,-78549.6,-83086.1,-96415.4,40.0,48.2,47.1,26.0,46.5,frame_1519_msec.jpg
1.520,-77288.5,-81293.2,-78550.8,-83088.0,-96416.5,39.0,50.0,45.9,24.1,45.4,frame_1520_msec.jpg
1.520,-77290.4,-81292.5,-78552.8,-83090.0,-96418.4,37.1,50.8,43.9,22.1,43.5,frame_1520_msec.jpg
1.521,-77293.0,-81292.9,-78555.5,-83092.1,-96421.0,34.5,50.4,41.2,20.0,40.9,frame_1521_msec.jpg
1.521,-77296.0,-81294.3,-78558.5,-83094.2,-96424.0,31.5,48.9,38.2,17.9,37.9,frame_1521_msec.jpg
1.521,-77299.1,-81296.7,-78561.6,-83096.2,-96427.0,28.4,46.6,35.1,15.9,34.9,frame_1521_msec.jpg
1.521,-77302.2,-81299.6,-78564.7,-83097.9,-96429.9,25.3,43.7,32.0,14.2,31.9,frame_1521_msec.jpg
1.521,-77305.1,-81302.8,-78567.6,-83099.5,-96432.6,22.4,40.5,29.1,12.6,29.3,frame_1521_msec.jpg
1.522,-77307.6,-81306.0,-78570.1,-83100.7,-96434.9,19.8,37.3,26.5,11.4,26.9,frame_1522_msec.jpg
1.549,-77309.8,-81309.0,-78572.3,-83101.7,-96436.9,17.7,34.2,24.4,10.4,24.9,frame_1549_msec.jpg
1.550,-77311.6,-81311.8,-78574.2,-83102.4,-96438.6,15.8,31.5,22.5,9.7,23.2,frame_1550_msec.jpg
1.550,-77313.1,-81314.1,-78575.7,-83102.9,-96440.1,14.4,29.1,21.0,9.2,21.8,frame_1550_msec.jpg
1.551,-77314.3,-81316.1,-78577.0,-83103.3,-96441.3,13.2,27.1,19.7,8.8,20.6,frame_1551_msec.jpg
1.551,-77315.1,-81317.8,-78578.0,-83103.6,-96442.3,12.3,25.5,18.7,8.5,19.5,frame_1551_msec.jpg
1.551,-77315.8,-81319.1,-78578.8,-83103.8,-96443.2,11.7,24.2,17.9,8.3,18.7,frame_1551_msec.jpg
1.579,-77316.2,-81320.1,-78579.5,-83104.0,-96443.9,11.3,23.2,17.2,8.1,18.0,frame_1579_msec.jpg
1.580,-77316.4,-81320.8,-78579.9,-83104.2,-96444.4,11.1,22.4,16.8,7.9,17.5,frame_1580_msec.jpg
1.580,-77316.5,-81321.3,-78580.2,-83104.3,-96444.7,11.0,22.0,16.5,7.8,17.2,frame_1580_msec.jpg
1.580,-77316.4,-81321.6,-78580.3,-83104.4,-96444.8,11.1,21.7,16.4,7.7,17.1,frame_1580_msec.jpg
1.581,-77316.3,-81321.6,-78580.2,-83104.5,-96444.8,11.2,21.7,16.5,7.6,17.1,frame_1581_msec.jpg
1.581,-77316.1,-81321.3,-78579.9,-83104.5,-96444.6,11.4,21.9,16.8,7.6,17.3,frame_1581_msec.jpg
1.612,-77315.7,-81320.8,-78579.4,-83104.4,-96444.2,11.8,22.5,17.3,7.7,17.7,frame_1612_msec.jpg
1.613,-77315.2,-81319.8,-78578.6,-83104.2,-96443.6,12.3,23.4,18.1,7.9,18.3,frame_1613_msec.jpg
1.613,-77314.4,-81318.4,-78577.6,-83103.8,-96442.8,13.1,24.8,19.1,8.3,19.1,frame_1613_msec.jpg
1.613,-77313.3,-81316.4,-78576.1,-83103.3,-96441.6,14.1,26.9,20.5,8.8,20.3,frame_1613_msec.jpg
1.613,-77311.8,-81313.7,-78574.3,-83102.5,-96439.9,15.6,29.6,22.4,9.6,22.0,frame_1613_msec.jpg
1.614,-77309.8,-81310.2,-78571.9,-83101.5,-96437.6,17.7,33.0,24.8,10.6,24.3,frame_1614_msec.jpg
1.643,-77307.1,-81306.1,-78568.7,-83100.0,-96434.6,20.4,37.2,28.0,12.1,27.3,frame_1643_msec.jpg
1.645,-77303.6,-81301.3,-78564.8,-83098.2,-96430.7,23.9,42.0,31.9,13.9,31.2,frame_1645_msec.jpg
1.645,-77299.3,-81296.2,-78560.1,-83095.9,-96425.8,28.2,47.1,36.6,16.2,36.1,frame_1645_msec.jpg
1.645,-77294.1,-81291.0,-78554.4,-83093.0,-96419.9,33.3,52.2,42.3,19.1,42.0,frame_1645_msec.jpg
1.646,-77288.2,-81286.3,-78548.1,-83089.5,-96413.2,39.2,57.0,48.6,22.6,48.7,frame_1646_msec.jpg
1.646,-77281.9,-81282.4,-78541.3,-83085.4,-96405.9,45.6,60.9,55.4,26.7,56.0,frame_1646_msec.jpg
1.674,-77275.5,-81279.7,-78534.4,-83080.6,-96398.5,52.0,63.6,62.3,31.5,63.3,frame_1674_msec.jpg
1.677,-77269.6,-81278.6,-78527.9,-83075.2,-96391.7,57.8,64.7,68.8,36.9,70.2,frame_1677_msec.jpg
1.678,-77264.9,-81279.2,-78522.4,-83069.6,-96386.0,62.6,64.1,74.3,42.5,75.8,frame_1678_msec.jpg
1.678,-77261.7,-81281.4,-78518.3,-83063.9,-96382.2,65.8,61.9,78.4,48.2,79.7,frame_1678_msec.jpg
1.678,-77260.5,-81285.0,-78516.1,-83058.8,-96380.5,67.0,58.3,80.6,53.3,81.4,frame_1678_msec.jpg
1.679,-77261.3,-81289.6,-78516.0,-83054.6,-96381.2,66.1,53.7,80.7,57.5,80.6,frame_1679_msec.jpg
1.679,-77264.1,-81294.8,-78518.1,-83052.0,-96384.2,63.3,48.5,78.6,60.1,77.7,frame_1679_msec.jpg
1.705,-77268.6,-81300.0,-78522.0,-83051.2,-96389.0,58.9,43.3,74.7,60.9,72.8,frame_1705_msec.jpg
1.711,-77274.1,-81305.0,-78527.5,-83052.3,-96395.2,53.4,38.3,69.2,59.8,66.7,frame_1711_msec.jpg
1.712,-77280.1,-81309.5,-78533.8,-83055.1,-96402.0,47.4,33.8,62.9,57.0,59.8,frame_1712_msec.jpg
1.712,-77286.2,-81313.3,-78540.6,-83059.4,-96409.0,41.3,30.0,56.1,52.7,52.9,frame_1712_msec.jpg
1.712,-77291.9,-81316.4,-78547.1,-83064.6,-96415.5,35.6,26.9,49.6,47.5,46.3,frame_1712_msec.jpg
1.713,-77296.9,-81318.9,-78553.1,-83070.1,-96421.4,30.6,24.4,43.6,42.0,40.5,frame_1713_msec.jpg
1.713,-77301.2,-81320.8,-78558.3,-83075.5,-96426.4,26.3,22.4,38.4,36.6,35.5,frame_1713_msec.jpg
1.736,-77304.6,-81322.3,-78562.6,-83080.4,-96430.5,22.9,21.0,34.1,31.7,31.4,frame_1736_msec.jpg
1.745,-77307.3,-81323.4,-78566.0,-83084.6,-96433.8,20.1,19.8,30.7,27.5,28.1,frame_1745_msec.jpg
1.745,-77309.4,-81324.3,-78568.6,-83088.1,-96436.3,18.0,18.9,28.1,24.0,25.5,frame_1745_msec.jpg
1.746,-77311.1,-81325.1,-78570.6,-83091.0,-96438.3,16.4,18.2,26.1,21.1,23.6,frame_1746_msec.jpg
1.747,-77312.3,-81325.6,-78572.2,-83093.3,-96439.8,15.1,17.6,24.5,18.8,22.0,frame_1747_msec.jpg
1.747,-77313.4,-81326.2,-78573.5,-83095.2,-96441.0,14.1,17.1,23.2,16.9,20.9,frame_1747_msec.jpg
1.747,-77314.3,-81326.6,-78574.6,-83096.8,-96441.8,13.2,16.7,22.1,15.3,20.1,frame_1747_msec.jpg
1.778,-77315.0,-81327.0,-78575.6,-83098.0,-96442.4,12.5,16.3,21.1,14.1,19.5,frame_1778_msec.jpg
1.794,-77315.6,-81327.4,-78576.4,-83099.1,-96442.8,11.9,15.9,20.3,13.0,19.1,frame_1794_msec.jpg
1.796,-77316.0,-81327.8,-78577.2,-83099.9,-96443.1,11.5,15.5,19.5,12.2,18.8,frame_1796_msec.jpg
1.796,-77316.4,-81328.1,-78577.9,-83100.5,-96443.3,11.1,15.2,18.8,11.6,18.5,frame_1796_msec.jpg
1.797,-77316.6,-81328.5,-78578.6,-83100.9,-96443.5,10.9,14.8,18.1,11.2,18.3,frame_1797_msec.jpg
1.797,-77316.7,-81328.8,-78579.1,-83101.1,-96443.7,10.7,14.5,17.6,11.0,18.1,frame_1797_msec.jpg
1.797,-77316.8,-81329.1,-78579.5,-83101.3,-96443.9,10.7,14.1,17.2,10.8,18.0,frame_1797_msec.jpg
1.798,-77316.8,-81329.4,-78579.8,-83101.4,-96444.1,10.7,13.8,16.9,10.7,17.8,frame_1798_msec.jpg
1.798,-77316.8,-81329.7,-78580.1,-83101.5,-96444.1,10.7,13.6,16.6,10.6,17.7,frame_1798_msec.jpg
1.798,-77316.8,-81330.0,-78580.4,-83101.6,-96444.2,10.7,13.3,16.3,10.5,17.7,frame_1798_msec.jpg
